mrbts_id,distname,physicalPort,sfpVendor,sfpSerialNumber,sfpType,waveLength(nm),transmissionMode,ransmissionRate(Mb/s),transmissionDistance(m),temperature,txVoltage,txCurrent,txPower,rxPower
7122,MRBTS-7122/EQM-1/APEQM-1/RMOD-1/SFP-4,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451007SI    ,LC,1310,SingleMode,9800,0.000000,29,3301,42,-1,-6
7122,MRBTS-7122/EQM-1/APEQM-1/RMOD-3/SFP-5,OPT_IF1-1,WTD_RTXM228-702-AW,AL1436005927   ,LC,1310,NotSupported,10000,300.000000,31,3293,40,-2,-4
7122,MRBTS-7122/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT5_10G-3,WTD_RTXM228-702-AW,AL1436005921,LC,1310,NotSupported,10000,300.000000,35,3290,42,-3,-3
7122,MRBTS-7122/EQM-1/APEQM-1/RMOD-4/SFP-6,OPT_IF1-1,WTD_RTXM228-702,FR162026107    ,LC,1310,NotSupported,10000,0.000000,32,3262,40,-3,-5
7122,MRBTS-7122/EQM-1/APEQM-1/RMOD-2/SFP-7,OPT_IF2-2,WTD_RTXM228-702-AW,AL1436005900   ,LC,1310,NotSupported,10000,0.000000,33,3223,43,-3,-4
7122,MRBTS-7122/EQM-1/APEQM-1/RMOD-5/SFP-8,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451006D7    ,LC,1310,SingleMode,9800,0.000000,28,3270,45,-1,-27
7124,MRBTS-7124/EQM-1/APEQM-1/RMOD-3/SFP-1,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2142409509    ,LC,1310,NotSupported,10300,3117.000000,30,3287,37,-2,-14
7124,MRBTS-7124/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT3_10G-9,WTD_RTXM228-702,FR161622014,LC,1310,NotSupported,10000,3117.000000,43,3300,43,-4,-6
7124,MRBTS-7124/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF145100239    ,LC,1310,SingleMode,9800,0.000000,30,3301,45,-1,-5
7124,MRBTS-7124/EQM-1/APEQM-1/RMOD-1/SFP-3,OPT_IF2-2,FINISARCORP._FTLX1370W3BTL-NN,VF1451006S0    ,LC,1310,SingleMode,9800,0.000000,32,3300,45,-1,-5
7124,MRBTS-7124/EQM-1/APEQM-1/RMOD-1/SFP-4,OPT_IF1-1,FINISARCORP._FTLX1370W3BTL-NN,VF145100633    ,LC,1310,SingleMode,9800,1867.000000,34,3289,45,-1,-10
7124,MRBTS-7124/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT1_10G-7,FINISARCORP._FTLX1370W3BTL-NN,VF1451003ZL,LC,1310,SingleMode,9800,1867.000000,43,3327,47,-1,-3
7124,MRBTS-7124/EQM-1/APEQM-1/RMOD-4/SFP-5,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2142607981    ,LC,1310,NotSupported,10300,0.000000,32,3287,38,-2,-6
7124,MRBTS-7124/EQM-1/APEQM-1/RMOD-3/SFP-6,OPT_IF2-2,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2142606790    ,LC,1310,NotSupported,10300,0.000000,28,3301,37,-2,-2
7132,MRBTS-7132/EQM-1/APEQM-1/RMOD-2/SFP-1,OPT_IF1-1,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2145205513    ,LC,1310,NotSupported,10300,0.000000,36,3253,39,-2,-5
7132,MRBTS-7132/EQM-1/APEQM-1/RMOD-1/SFP-2,OPT_IF2-2,SOURCEPHOTONICS_SPP10ELRIDFPSA2,U2145201939    ,LC,1310,NotSupported,10300,0.000000,37,3320,35,-1,-5
