mrbts_id,distname,physicalPort,sfpVendor,sfpSerialNumber,sfpType,waveLength(nm),transmissionMode,ransmissionRate(Mb/s),transmissionDistance(m),temperature,txVoltage,txCurrent,txPower,rxPower
4353,MRBTS-4353/EQM-1/APEQM-1/RMOD-1/SFP-4,OPT_IF2-8,FINISAR CORP._FTLX1370W3BTL-AW.A,UT81AD3,LC,1310,NotSupported,9800,220.000000,41,3310,48,-2,-2
4353,MRBTS-4353/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT1_10G-15,FINISARCORP._FTLX1370W3BTL-AW,UT80VS6,LC,1310,NotSupported,9800,220.000000,40,3292,47,-1,-2
4353,MRBTS-4353/EQM-1/APEQM-1/RMOD-3/SFP-5,OPT_IF2-8,FINISAR CORP._FTLX1370W3BTL-AW.A,UT80VHQ,LC,1310,NotSupported,9800,231.000000,45,3306,47,-1,-3
4353,MRBTS-4353/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-2,RF3-3,FINISARCORP._FTLX1370W3BTL-AW,UT80WRJ,LC,1310,NotSupported,9800,231.000000,39,3276,47,-2,-2
4353,MRBTS-4353/EQM-1/APEQM-1/RMOD-3/SFP-6,OPT_IF1-1,FINISAR CORP._FTLX1370W3BTL-AW.A,URF0XTL,LC,1310,NotSupported,9800,220.000000,46,3315,47,-1,0
4353,MRBTS-4353/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-3,RF5-5,FINISARCORP._FTLX1370W3BTL-AW,URG1804,LC,1310,NotSupported,9800,220.000000,40,3281,45,-1,-1
4608,MRBTS-4608/EQM-1/APEQM-1/RMOD-3/SFP-1,OPT_IF1-1,WTD_RTXM228-702-AW.1.0,AL1525005503,LC,1310,NotSupported,10000,219.000000,22,3262,41,-3,-2
4608,MRBTS-4608/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT5_10G-15,FINISARCORP._FTLX1370W3BTL-AW,UQB0EL6,LC,1310,NotSupported,9800,219.000000,37,3274,47,-1,-3
4608,MRBTS-4608/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,WTD_RTXM228-702.1.0,FR173311400,LC,1310,NotSupported,10000,221.000000,22,3281,39,-2,-3
4608,MRBTS-4608/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT3_10G-13,WTD_RTXM228-702-AW,AL1525002586,LC,1310,NotSupported,10000,221.000000,36,3207,43,-3,-2
4608,MRBTS-4608/EQM-1/APEQM-1/RMOD-1/SFP-3,OPT_IF1-1,WTD_RTXM228-702.1.0,FR173312216,LC,1310,NotSupported,10000,221.000000,24,3274,37,-2,-4
4608,MRBTS-4608/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT1_10G-11,WTD_RTXM228-702-AW,AL1525003032,LC,1310,NotSupported,10000,221.000000,34,3243,41,-3,-3
4613,MRBTS-4613/EQM-1/APEQM-1/RMOD-6/SFP-1,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18140972158,LC,1310,NotSupported,9900,201.000000,37,3316,43,-2,-2
4613,MRBTS-4613/EQM-1/APEQM-1/CABINET-1/BBMOD-2/SFP-1,RF5-5,HGGENUINE_MTRS-1E21-04,MB18150131090,LC,1310,NotSupported,9900,201.000000,38,3269,45,-1,-4
4613,MRBTS-4613/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18140970991,LC,1310,NotSupported,9900,201.000000,37,3307,46,-2,-2
4613,MRBTS-4613/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT5_10G-7,HGGENUINE_MTRS-1E21-04,MB18140972213,LC,1310,NotSupported,9900,201.000000,40,3250,45,-2,-4
4613,MRBTS-4613/EQM-1/APEQM-1/RMOD-4/SFP-3,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18150130823,LC,1310,NotSupported,9900,201.000000,33,3321,45,-2,-3
4613,MRBTS-4613/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-2,RF5-5,HGGENUINE_MTRS-1E21-04,MB18140972183,LC,1310,NotSupported,9900,201.000000,38,3245,45,-2,-3
4613,MRBTS-4613/EQM-1/APEQM-1/RMOD-1/SFP-4,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18140972266,LC,1310,NotSupported,9900,201.000000,33,3312,44,-3,-3
4613,MRBTS-4613/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT1_10G-3,HGGENUINE_MTRS-1E21-04,MB18140972267,LC,1310,NotSupported,9900,201.000000,40,3254,45,-2,-5
4613,MRBTS-4613/EQM-1/APEQM-1/RMOD-3/SFP-5,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18140972076,LC,1310,NotSupported,9900,235.000000,39,3297,44,-2,-7
4613,MRBTS-4613/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-3,RF1-1,HGGENUINE_MTRS-1E21-04,MB18140972162,LC,1310,NotSupported,9900,235.000000,38,3240,45,-2,-2
4613,MRBTS-4613/EQM-1/APEQM-1/RMOD-5/SFP-6,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18451240416,LC,1310,NotSupported,9900,234.000000,33,3297,45,-2,-3
4613,MRBTS-4613/EQM-1/APEQM-1/CABINET-1/BBMOD-2/SFP-4,RF1-1,HGGENUINE_MTRS-1E21-04,MB18140972188,LC,1310,NotSupported,9900,234.000000,37,3273,45,-2,-2
4259,MRBTS-4259/EQM-1/APEQM-1/RMOD-2/SFP-1,OPT_IF1-1,WTD_RTXM228-601,FR142222476    ,LC,1310,NotSupported,6100,60.000000,43,3250,35,-3,-2
4259,MRBTS-4259/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RF_EXT2-2,WTD_RTXM228-601,FR142308856,LC,1310,NotSupported,6100,60.000000,54,3270,38,-2,-3
4259,MRBTS-4259/EQM-1/APEQM-1/RMOD-1/SFP-2,OPT_IF1-1,WTD_RTXM228-601,FR142321753    ,LC,1310,NotSupported,6100,69.000000,45,3260,39,-3,-3
4259,MRBTS-4259/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RF_EXT1-1,WTD_RTXM228-601,FR142309262,LC,1310,NotSupported,6100,69.000000,53,3240,35,-2,-3
